Tenant,EmployeeHash,Section,JobTitle,HireDate,TerminationDate,TerminationReason
Tenant_A,c4bc1d4de169a8b54e2547dee0b55c3719e76fb3f1c89d71bbf25d85d6258581,Administration,Director,1989-02-02,,
Tenant_A,d4beffb1ce16ccd40da9235bf02415bbe0fb5422d1e1807c5a9c2998b303e8e9,Quality,Assistant,1991-05-18,,
Tenant_A,e9befe6e21c28d13da403906587aa903274e55220ee292f8f096741373073780,Maintenance,Operator,1992-12-19,,
Tenant_A,d46b43bc4afeb2f260d8ff5ec77216a358e843d2efa7e94ad253226beea34498,Production,Operator,1993-05-09,,
Tenant_A,52fcf2508917d3aec7adfc53f822c46050734ae1202001f76d982788d7087958,Environmental,Operator,1993-10-06,,
Tenant_A,61b26a93d8b2f31b8c4d25515fe53fcd2ffff231f30dac09c91d0da7bd2d33c1,Production,Assistant,1994-01-31,,
Tenant_A,52c384820e47722f91b236b70d9ce16eba138e8e23bce593001200dd53175098,Production,Operator,1994-10-08,,
Tenant_A,50f323480242ecc97d4d43a8c60f37ebe7cb1485c411a132e514eecab853ccc9,Logistics,Operator,1995-03-14,,
Tenant_A,02ab31f1169b1beea7c5400509c8884aab8d285e40b651284a3a76f327f8c2e6,Production,Assistant,1995-07-01,,
Tenant_A,f99ec6fb778927fa4f15dbaa8955329550468cd3a3e1c6a7359e1993ae0d7137,Production,Assistant,1995-08-10,,
Tenant_A,96cac1330a4ce271938bbae1d3db20a387b9ee1d21cb9543486103066b1ec926,Production,Operator,1995-12-24,,
Tenant_A,fc297c7e2a9ac2452aafa2f5890b9e5c3a19bd6c51d2c6ed35b846371aebdc08,Logistics,Assistant,1996-01-02,,
Tenant_A,06582dadfe5ef957fb1b720a1aaccea4dd3e569a98fe3ac92781efc390cda952,Logistics,Assistant,1996-01-19,,
Tenant_A,f0daab74340365808c1f71d8af5e9116259ddfb405ab05fd63cbaca1d532e321,Logistics,Assistant,1996-02-01,,
Tenant_A,451ebedc55f8d32ddd385865e0b646b3a19bebc72f38a5811806935a154f0f08,Facilities,Assistant,1996-02-06,,
Tenant_A,baa2b54ac39aaf7cadb87a7ee609198072ffa8e3ad3f7e0cf362c54c327e42a1,Production,Assistant,1996-03-15,,
Tenant_A,f80b86d7fad1e6ee8aff516bbc60c0f928241b19df144e687e298c5d366093e9,Production,Operator,1996-03-18,,
Tenant_A,0e63595367c2714b75e31581eadb8b932a6e2db86ecd7f884d4c6a3f16f31512,Maintenance,Leader,1996-04-16,,
Tenant_A,4d8ec87b6e24befab9aeec17ac050bebb77f6ca53c48c103e405c665343acbf3,Logistics,Operator,1996-06-10,,
Tenant_A,90e843da16735214019d2867133799c6b18dec2281321f2e505ac0b4965f717e,Production,Operator,1996-07-28,,
Tenant_A,a2a6bd82b023c80c1dfb9e38c9a231f87a5f9381d8d095c0a818bf115b9517e4,Sales,Manager,1997-03-22,,
Tenant_A,43b0c0c2ee3ef508f1bd8a1e34d1c822b6fb33a62b914b93c31eebf7763e8059,Logistics,Assistant,1997-03-30,,
Tenant_A,f14bec8a7212fceab97ba381c021bf5b50defc56b55bf54580714af1ee7473ca,Production,Assistant,1997-05-08,,
Tenant_A,af25539f489fa8d11ec33f7b7d97770c16e5476672100b7c8130166941825b94,Logistics,Assistant,1997-07-08,,
Tenant_A,7af014471f35218814506385fdc1f3e6c2fe6eadc5f80484da4518de7c9a7842,Maintenance,Operator,1997-08-02,,
Tenant_C,7ab3e852b200d89a26b37500729eda1250a682aaabcdd5ec567ef16fe850ed56,Sales,Salesperson,1997-09-06,,
Tenant_A,290d37cb29f39d2c91b73b151cd62d154cbeb7a17ffc23342e0975d15c8cbbac,Logistics,Operator,1998-02-24,,
Tenant_A,5ce1c00fdb4de9f458fe2e264afc1c9b2699285e7c006f233b5b44891dfeeecd,Maintenance,Operator,1998-06-03,,
Tenant_A,b31937ff00b8664db9c1122b5fe999699447966997350e01fa1e06bd1f1812dd,Engineering,Analyst,1998-06-29,,
Tenant_A,6ba231875654db09040c5b6c5936ec0c8615ebd0d82bf66bb8b40a8ef4f96a08,Maintenance,Operator,1998-11-18,,
Tenant_A,7ceac4c35d58ef235959da22fec3364ec6e46edb6baf3504524a8c0254603f3c,Production,Supervisor,1998-12-24,,
Tenant_A,5fb17b2a3defaf1244a2b6e1c01f9dd1f73e6ca4360998ef52e4c67dc4ad6200,Production,Assistant,1999-01-09,,
Tenant_A,6eb8390afa5fb31b70dd9605d2fdbb217396b32d4f2e05497450e44ae4a7df27,Production,Assistant,1999-02-21,,
Tenant_A,1d2fc2484615674ad2d7f64e083f3990443ea00212e798de91814ca28d7710c5,Maintenance,Operator,1999-03-27,,
Tenant_A,3f7b5521d182c2c89c1883fd4b4133dfabbdba40af010533a826dd001c734338,Maintenance,Technician,1999-05-31,,
